               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.051482,            0.023292,             0.06648,           0.0012929,             0.44855,            0.001472,          0.00035225,            0.064838,            0.014934,            0.068871,           0.0099886,           0.0099886,           0.0099886
                 110,            0.053425,            0.022682,            0.066244,            0.001572,              0.5054,           0.0022234,          0.00068465,             0.05899,            0.015205,            0.068836,           0.0099884,           0.0099884,           0.0099884
                 111,            0.052059,            0.022385,             0.06656,           0.0015652,             0.49809,           0.0070613,           0.0010914,            0.063963,            0.015088,            0.068836,           0.0099882,           0.0099882,           0.0099882
                 112,            0.052818,             0.02217,             0.06615,           0.0017336,             0.53206,           0.0054759,           0.0017876,            0.057652,            0.015293,            0.068802,            0.009988,            0.009988,            0.009988
                 113,            0.050749,            0.022338,             0.06476,           0.0020913,             0.57672,            0.027325,           0.0067928,            0.060299,            0.015352,            0.068733,           0.0099877,           0.0099877,           0.0099877
                 114,            0.051128,            0.022235,            0.066437,           0.0022471,             0.59409,            0.033852,            0.010093,            0.055019,            0.015366,            0.068665,           0.0099875,           0.0099875,           0.0099875
                 115,            0.053008,            0.022012,               0.065,           0.0022069,             0.60192,             0.02748,            0.006398,            0.060948,            0.015557,            0.068356,           0.0099873,           0.0099873,           0.0099873
                 116,            0.050298,            0.022437,            0.064831,           0.0026919,             0.65579,            0.059985,               0.019,            0.055539,            0.015703,            0.068424,           0.0099871,           0.0099871,           0.0099871
                 117,            0.053599,            0.021218,            0.066374,           0.0026984,              0.6547,            0.047574,            0.011812,            0.058093,            0.015425,            0.067909,           0.0099869,           0.0099869,           0.0099869
                 118,            0.050765,            0.021819,            0.065003,           0.0028366,              0.6694,            0.063209,            0.020855,            0.053708,            0.015366,            0.068253,           0.0099866,           0.0099866,           0.0099866
                 119,             0.05255,            0.021317,            0.064879,           0.0031303,             0.69887,            0.049681,            0.012949,             0.05703,            0.015176,            0.068115,           0.0099864,           0.0099864,           0.0099864
                 120,            0.051278,            0.021028,              0.0653,           0.0025904,             0.67653,            0.037774,            0.013255,            0.054546,            0.014495,            0.067738,           0.0099862,           0.0099862,           0.0099862
                 121,            0.049925,            0.021755,            0.064467,           0.0032873,             0.74248,            0.049264,            0.013327,            0.056581,             0.01481,            0.068081,           0.0099859,           0.0099859,           0.0099859
                 122,            0.051117,            0.021509,             0.06545,           0.0030256,              0.7595,            0.061389,             0.01987,            0.052196,            0.014656,            0.068081,           0.0099857,           0.0099857,           0.0099857
                 123,            0.048941,             0.02134,             0.06505,           0.0035415,              0.7723,            0.060193,            0.017271,            0.054439,             0.01437,            0.068321,           0.0099855,           0.0099855,           0.0099855
                 124,            0.051485,            0.021311,            0.064948,           0.0030816,             0.77209,            0.065697,            0.019192,            0.053508,            0.013997,             0.06815,           0.0099852,           0.0099852,           0.0099852
                 125,             0.05033,            0.020776,            0.064751,            0.003144,             0.74983,            0.061038,            0.014223,            0.055258,            0.014509,            0.068356,            0.009985,            0.009985,            0.009985
                 126,            0.050866,            0.021457,            0.065278,           0.0032278,              0.8107,            0.080839,            0.026758,            0.051972,            0.013726,            0.068321,           0.0099847,           0.0099847,           0.0099847
                 127,            0.048682,            0.021363,            0.065141,           0.0036699,             0.84126,            0.081761,            0.020603,            0.053917,            0.013674,            0.068253,           0.0099845,           0.0099845,           0.0099845
                 128,            0.050537,            0.021501,             0.06511,           0.0032708,             0.81593,            0.080296,            0.033403,            0.050107,            0.014033,            0.068356,           0.0099842,           0.0099842,           0.0099842
