               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.057471,            0.024222,            0.068964,           0.0011536,             0.48222,           0.0050386,           0.0012608,            0.063351,            0.014326,            0.069214,            0.018993,           0.0089929,           0.0089929
                  91,            0.057632,            0.023921,            0.068939,           0.0012313,             0.45926,           0.0036639,          0.00079351,            0.068944,            0.014165,            0.069248,            0.018093,           0.0090926,           0.0090926
                  92,            0.058099,            0.023227,            0.068679,           0.0015803,             0.50233,           0.0058093,           0.0015099,             0.06203,            0.014663,            0.069248,            0.017192,           0.0091924,           0.0091924
                  93,            0.055988,            0.022737,            0.069057,           0.0013458,             0.45556,           0.0036016,          0.00076518,             0.06979,             0.01407,            0.069214,            0.016292,           0.0092921,           0.0092921
                  94,             0.05653,            0.023681,            0.068937,           0.0018507,             0.49782,           0.0052937,            0.001157,            0.064254,            0.014304,             0.06918,            0.015392,           0.0093919,           0.0093919
                  95,            0.055561,             0.02309,            0.068475,           0.0014346,              0.4507,           0.0047705,          0.00085482,            0.067993,            0.014019,             0.06918,            0.014492,           0.0094916,           0.0094916
                  96,            0.054651,            0.024109,            0.068764,           0.0022829,             0.54767,           0.0070051,            0.001562,            0.062801,            0.014656,             0.06918,            0.013591,           0.0095914,           0.0095914
                  97,            0.056214,            0.024158,            0.068546,           0.0018309,             0.53684,           0.0071365,            0.001442,            0.065882,            0.014355,            0.069214,            0.012691,           0.0096911,           0.0096911
                  98,            0.053968,            0.025461,            0.068789,           0.0018896,             0.55549,           0.0084641,            0.001899,             0.06276,            0.014905,            0.069248,            0.011791,           0.0097908,           0.0097908
                  99,            0.055137,            0.023394,            0.068549,           0.0020648,             0.56156,            0.009149,           0.0017342,            0.066643,            0.014656,            0.069248,            0.010891,           0.0098905,           0.0098905
                 100,            0.055641,            0.023325,            0.068391,           0.0026436,             0.62996,            0.016179,           0.0038216,            0.061517,             0.01522,            0.069214,           0.0099902,           0.0099902,           0.0099902
                 101,            0.053914,            0.023472,            0.068396,            0.002268,             0.59038,            0.012101,           0.0026962,            0.066677,            0.014927,            0.069283,           0.0099902,           0.0099902,           0.0099902
                 102,            0.052376,            0.023585,            0.068537,           0.0023863,              0.6307,            0.021007,           0.0047212,            0.061159,            0.015688,            0.069317,             0.00999,             0.00999,             0.00999
                 103,            0.053999,            0.022834,            0.068473,           0.0026991,             0.62478,            0.022245,           0.0053861,            0.064827,            0.015381,            0.069317,           0.0099898,           0.0099898,           0.0099898
                 104,            0.053569,            0.022947,            0.068395,           0.0024856,             0.65561,            0.020271,           0.0050812,             0.06092,            0.015601,            0.069317,           0.0099896,           0.0099896,           0.0099896
                 105,             0.05118,            0.022861,            0.068362,           0.0030427,             0.64922,            0.032101,           0.0075873,            0.061611,             0.01522,            0.069283,           0.0099894,           0.0099894,           0.0099894
                 106,            0.053266,            0.022584,            0.068549,             0.00284,             0.68746,            0.033405,           0.0086115,            0.060657,            0.015396,            0.069283,           0.0099892,           0.0099892,           0.0099892
                 107,            0.052565,            0.022327,            0.068567,            0.003546,             0.69709,            0.043144,            0.011572,            0.059518,            0.015161,            0.069248,            0.009989,            0.009989,            0.009989
                 108,            0.052886,            0.022823,            0.068577,            0.003402,             0.70492,            0.039568,            0.011162,            0.060318,            0.014912,            0.069248,           0.0099888,           0.0099888,           0.0099888
                 109,             0.05157,            0.022977,            0.068461,           0.0038032,             0.75959,            0.049719,            0.012187,              0.0591,            0.014363,             0.06918,           0.0099886,           0.0099886,           0.0099886
                 110,            0.051384,            0.022456,            0.068417,           0.0035941,             0.75413,             0.04789,            0.013389,            0.058293,            0.014216,             0.06918,           0.0099884,           0.0099884,           0.0099884
                 111,            0.051722,            0.022296,            0.068453,           0.0037715,             0.76079,            0.049533,            0.012662,            0.058392,            0.013938,             0.06918,           0.0099882,           0.0099882,           0.0099882
                 112,            0.049127,            0.022407,            0.068278,           0.0038474,             0.75487,             0.04692,            0.014092,             0.05808,            0.014312,            0.069351,            0.009988,            0.009988,            0.009988
                 113,            0.050879,            0.022212,            0.068183,           0.0036962,             0.79033,             0.05674,            0.015546,            0.062634,            0.013748,            0.069248,           0.0099877,           0.0099877,           0.0099877
                 114,            0.049203,            0.022182,             0.06823,           0.0041997,             0.79894,            0.057856,            0.016927,            0.057944,            0.013938,            0.069214,           0.0099875,           0.0099875,           0.0099875
                 115,            0.051582,            0.021815,            0.068162,           0.0037161,               0.807,            0.059904,            0.016139,            0.064719,            0.013535,            0.069283,           0.0099873,           0.0099873,           0.0099873
